Transcript,Summary,Sentiment
I am unable to connect to international calls,"{'summary': 'The user is experiencing issues connecting to international calls.', 'sentiment': 'Negative'}",Neutral
i am sad,"{'summary': 'The user is expressing sadness.', 'sentiment': 'Negative'}",Neutral
i am very exhausted and feeling depressed,"{'summary': 'The user is feeling exhausted and depressed.', 'sentiment': 'Negative'}",Neutral
i am very exhausted and feeling depressed,"The user is expressing feelings of exhaustion and depression, indicating a low emotional state and potential need for support.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the reason for their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and this sentiment is clearly expressed in their statement.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no other information is provided about the cause of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no other information is provided in the transcript.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the reason for their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
i am very angry,"The user has stated they are very angry, indicating a strong negative emotion, and no further context or details are provided about the source of their anger.",Negative
I'm delighted to inform you that the services I've received by the travel agency in 2-3 days of my trip to Mumbai has been the best kind of service I've ever received.,"The customer is delighted with the service received from the travel agency before their trip to Mumbai, stating it was the best service they've ever received.",Positive
It is so annoying that the customer care service never responds in time,"The customer expressed frustration with the customer care service due to their untimely responses, which is causing annoyance. The customer care service is not meeting the customer's expectations in terms of response time. This has led to a negative experience for the customer.",Negative
I'm not sure how am i feeling right now,The user is expressing uncertainty about their current emotional state and is seeking clarification or support.,Neutral
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery cheered the user up despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery cheered the user up when they were unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,The user received a telephone call about the lottery that improved their mood despite being unwell and sad at the time,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
"My friends were arguing over a silly Instagram post, it really annoyed me.","The user's friends were arguing about an Instagram post, which the user found to be silly and annoying, causing them frustration.",Negative
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,"The user received a telephone call about the lottery that improved their mood, despite being unwell and sad at the time, indicating a positive impact from the call.",Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery cheered the user up when they were unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,The user received a cheerful phone call about the lottery that improved their mood despite being unwell and sad,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,The user received a telephone call about the lottery that improved their mood despite being unwell and sad at the time,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,The user received a telephone call about the lottery that improved their mood despite being unwell and sad beforehand,Positive
The telephone call I received yesterday about the lottery cheered me up even though i was really unwell n sad,A telephone call about the lottery improved the user's mood despite being unwell and sad.,Positive
